employment status,FIPS,business/farm in hhld,"(layoff)from full-time job,y/n",unemployed)weeks on job search,college credit completed,reason for work absence last week,state,year-month,CBSA Code,CBSA Name,First City,latitude,longitude
6,38940,2,-1,-1,3,-1,12.0,2016-05-01,38940.0,"Port St. Lucie, FL","Port St. Lucie, FL",27.2939333,-80.3503283
-1,31080,2,-1,-1,-1,-1,6.0,2016-12-01,31080.0,"Los Angeles-Long Beach-Anaheim, CA","Los Angeles, CA",34.0536909,-118.242766
1,0,2,-1,-1,-1,-1,50.0,2017-04-01,,,,,
5,16620,2,-1,-1,-1,-1,54.0,2017-03-01,16620.0,"Charleston, WV","Charleston, WV",38.3505995,-81.6332812
1,33460,2,-1,-1,-1,-1,27.0,2012-08-01,33460.0,"Minneapolis-St. Paul-Bloomington, MN-WI","Minneapolis, MN-WI",46.658349,-92.194559
7,0,2,-1,-1,-1,-1,6.0,2011-01-01,,,,,
7,0,2,-1,-1,3,-1,1.0,2021-08-01,,,,,
1,0,2,-1,-1,-1,-1,32.0,2020-11-01,,,,,
5,33460,2,-1,-1,-1,-1,27.0,2013-05-01,33460.0,"Minneapolis-St. Paul-Bloomington, MN-WI","Minneapolis, MN-WI",46.658349,-92.194559
5,22020,2,-1,-1,-1,-1,38.0,2023-02-01,22020.0,"Fargo, ND-MN","Fargo, ND, ND-MN",46.8711469,-96.7819521
1,49740,2,-1,-1,-1,-1,4.0,2020-12-01,49740.0,"Yuma, AZ","Yuma, AZ",32.723268,-114.6179954
7,0,1,-1,-1,2,-1,29.0,2023-10-01,,,,,
6,0,2,-1,-1,-1,-1,12.0,2020-11-01,,,,,
-1,12060,2,-1,-1,-1,-1,13.0,2018-10-01,12060.0,"Atlanta-Sandy Springs-Roswell, GA","Atlanta, GA",33.7489924,-84.3902644
1,45300,2,-1,-1,-1,-1,12.0,2016-04-01,45300.0,"Tampa-St. Petersburg-Clearwater, FL","Tampa, FL",27.9477595,-82.458444
